Celsius,Fahrenheit
-200,-328.0
-199,-326.2
-198,-324.40000000000003
-197,-322.6
-196,-320.8
-195,-319.0
-194,-317.2
-193,-315.40000000000003
-192,-313.6
-191,-311.8
-190,-310.0
-189,-308.2
-188,-306.40000000000003
-187,-304.6
-186,-302.8
-185,-301.0
-184,-299.2
-183,-297.40000000000003
-182,-295.6
-181,-293.8
-180,-292.0
-179,-290.2
-178,-288.40000000000003
-177,-286.6
-176,-284.8
-175,-283.0
-174,-281.2
-173,-279.40000000000003
-172,-277.6
-171,-275.8
-170,-274.0
-169,-272.2
-168,-270.40000000000003
-167,-268.6
-166,-266.8
-165,-265.0
-164,-263.2
-163,-261.40000000000003
-162,-259.6
-161,-257.8
-160,-256.0
-159,-254.2
-158,-252.40000000000003
-157,-250.60000000000002
-156,-248.8
-155,-247.0
-154,-245.2
-153,-243.40000000000003
-152,-241.60000000000002
-151,-239.8
-150,-238.0
-149,-236.2
-148,-234.40000000000003
-147,-232.60000000000002
-146,-230.8
-145,-229.0
-144,-227.2
-143,-225.40000000000003
-142,-223.6
-141,-221.8
-140,-220.0
-139,-218.20000000000002
-138,-216.4
-137,-214.6
-136,-212.8
-135,-211.0
-134,-209.20000000000002
-133,-207.4
-132,-205.6
-131,-203.8
-130,-202.0
-129,-200.20000000000002
-128,-198.4
-127,-196.6
-126,-194.8
-125,-193.0
-124,-191.20000000000002
-123,-189.4
-122,-187.6
-121,-185.8
-120,-184.0
-119,-182.20000000000002
-118,-180.4
-117,-178.6
-116,-176.8
-115,-175.0
-114,-173.20000000000002
-113,-171.4
-112,-169.6
-111,-167.8
-110,-166.0
-109,-164.20000000000002
-108,-162.4
-107,-160.6
-106,-158.8
-105,-157.0
-104,-155.20000000000002
-103,-153.4
-102,-151.6
-101,-149.8
-100,-148.0
-99,-146.20000000000002
-98,-144.4
-97,-142.6
-96,-140.8
-95,-139.0
-94,-137.20000000000002
-93,-135.4
-92,-133.6
-91,-131.8
-90,-130.0
-89,-128.20000000000002
-88,-126.4
-87,-124.6
-86,-122.80000000000001
-85,-121.0
-84,-119.20000000000002
-83,-117.4
-82,-115.6
-81,-113.80000000000001
-80,-112.0
-79,-110.20000000000002
-78,-108.4
-77,-106.6
-76,-104.80000000000001
-75,-103.0
-74,-101.20000000000002
-73,-99.4
-72,-97.6
-71,-95.8
-70,-94.0
-69,-92.2
-68,-90.4
-67,-88.60000000000001
-66,-86.8
-65,-85.0
-64,-83.2
-63,-81.4
-62,-79.60000000000001
-61,-77.8
-60,-76.0
-59,-74.2
-58,-72.4
-57,-70.60000000000001
-56,-68.8
-55,-67.0
-54,-65.2
-53,-63.400000000000006
-52,-61.60000000000001
-51,-59.8
-50,-58.0
-49,-56.2
-48,-54.400000000000006
-47,-52.60000000000001
-46,-50.8
-45,-49.0
-44,-47.2
-43,-45.400000000000006
-42,-43.60000000000001
-41,-41.8
-40,-40.0
-39,-38.2
-38,-36.400000000000006
-37,-34.60000000000001
-36,-32.8
-35,-31.0
-34,-29.200000000000003
-33,-27.4
-32,-25.6
-31,-23.800000000000004
-30,-22.0
-29,-20.200000000000003
-28,-18.4
-27,-16.6
-26,-14.800000000000004
-25,-13.0
-24,-11.200000000000003
-23,-9.399999999999999
-22,-7.600000000000001
-21,-5.800000000000004
-20,-4.0
-19,-2.200000000000003
-18,-0.3999999999999986
-17,1.3999999999999986
-16,3.1999999999999993
-15,5.0
-14,6.800000000000001
-13,8.599999999999998
-12,10.399999999999999
-11,12.2
-10,14.0
-9,15.8
-8,17.6
-7,19.4
-6,21.2
-5,23.0
-4,24.8
-3,26.6
-2,28.4
-1,30.2
0,32.0
1,33.8
2,35.6
3,37.4
4,39.2
5,41.0
6,42.8
7,44.6
8,46.4
9,48.2
10,50.0
11,51.8
12,53.6
13,55.400000000000006
14,57.2
15,59.0
16,60.8
17,62.6
18,64.4
19,66.2
20,68.0
21,69.80000000000001
22,71.6
23,73.4
24,75.2
25,77.0
26,78.80000000000001
27,80.6
28,82.4
29,84.2
30,86.0
31,87.80000000000001
32,89.6
33,91.4
34,93.2
35,95.0
36,96.8
37,98.60000000000001
38,100.4
39,102.2
40,104.0
41,105.8
42,107.60000000000001
43,109.4
44,111.2
45,113.0
46,114.8
47,116.60000000000001
48,118.4
49,120.2
50,122.0
51,123.8
52,125.60000000000001
53,127.4
54,129.2
55,131.0
56,132.8
57,134.60000000000002
58,136.4
59,138.2
60,140.0
61,141.8
62,143.60000000000002
63,145.4
64,147.2
65,149.0
66,150.8
67,152.60000000000002
68,154.4
69,156.2
70,158.0
71,159.8
72,161.6
73,163.4
74,165.20000000000002
75,167.0
76,168.8
77,170.6
78,172.4
79,174.20000000000002
80,176.0
81,177.8
82,179.6
83,181.4
84,183.20000000000002
85,185.0
86,186.8
87,188.6
88,190.4
89,192.20000000000002
90,194.0
91,195.8
92,197.6
93,199.4
94,201.20000000000002
95,203.0
96,204.8
97,206.6
98,208.4
99,210.20000000000002
100,212.0
101,213.8
102,215.6
103,217.4
104,219.20000000000002
105,221.0
106,222.8
107,224.6
108,226.4
109,228.20000000000002
110,230.0
111,231.8
112,233.6
113,235.4
114,237.20000000000002
115,239.0
116,240.8
117,242.6
118,244.4
119,246.20000000000002
120,248.0
121,249.8
122,251.6
123,253.4
124,255.20000000000002
125,257.0
126,258.8
127,260.6
128,262.4
129,264.20000000000005
130,266.0
131,267.8
132,269.6
133,271.4
134,273.20000000000005
135,275.0
136,276.8
137,278.6
138,280.4
139,282.20000000000005
140,284.0
141,285.8
142,287.6
143,289.40000000000003
144,291.2
145,293.0
146,294.8
147,296.6
148,298.40000000000003
149,300.2
150,302.0
151,303.8
152,305.6
153,307.40000000000003
154,309.2
155,311.0
156,312.8
157,314.6
158,316.40000000000003
159,318.2
160,320.0
161,321.8
162,323.6
163,325.40000000000003
164,327.2
165,329.0
166,330.8
167,332.6
168,334.40000000000003
169,336.2
170,338.0
171,339.8
172,341.6
173,343.40000000000003
174,345.2
175,347.0
176,348.8
177,350.6
178,352.40000000000003
179,354.2
180,356.0
181,357.8
182,359.6
183,361.40000000000003
184,363.2
185,365.0
186,366.8
187,368.6
188,370.40000000000003
189,372.2
190,374.0
191,375.8
192,377.6
193,379.40000000000003
194,381.2
195,383.0
196,384.8
197,386.6
198,388.40000000000003
199,390.2
200,392.0
300,572.0
